iters,time
0,0.0
1,4.76837158203125e-07
2,7.152557373046875e-07
3,7.152557373046875e-07
4,9.5367431640625e-07
5,9.5367431640625e-07
6,9.5367431640625e-07
7,1.430511474609375e-06
8,1.430511474609375e-06
9,1.430511474609375e-06
10,1.6689300537109375e-06
11,1.6689300537109375e-06
12,1.6689300537109375e-06
13,1.6689300537109375e-06
14,1.6689300537109375e-06
15,1.9073486328125e-06
16,1.9073486328125e-06
17,1.9073486328125e-06
18,1.9073486328125e-06
19,2.1457672119140625e-06
20,2.1457672119140625e-06
21,2.1457672119140625e-06
22,2.1457672119140625e-06
23,2.1457672119140625e-06
24,2.1457672119140625e-06
25,2.384185791015625e-06
26,2.384185791015625e-06
27,2.384185791015625e-06
28,2.384185791015625e-06
29,2.6226043701171875e-06
30,2.6226043701171875e-06
31,2.6226043701171875e-06
32,2.6226043701171875e-06
33,2.86102294921875e-06
34,2.86102294921875e-06
35,2.86102294921875e-06
36,2.86102294921875e-06
37,2.86102294921875e-06
38,3.0994415283203125e-06
39,3.0994415283203125e-06
40,3.0994415283203125e-06
41,3.0994415283203125e-06
42,3.337860107421875e-06
43,3.337860107421875e-06
44,3.337860107421875e-06
45,3.337860107421875e-06
46,3.337860107421875e-06
47,3.5762786865234375e-06
48,3.5762786865234375e-06
49,3.5762786865234375e-06
50,3.5762786865234375e-06
51,3.5762786865234375e-06
52,3.5762786865234375e-06
53,4.76837158203125e-06
54,4.76837158203125e-06
55,4.76837158203125e-06
56,4.76837158203125e-06
57,5.0067901611328125e-06
58,5.7220458984375e-06
59,5.7220458984375e-06
60,5.7220458984375e-06
61,5.7220458984375e-06
62,5.9604644775390625e-06
63,5.9604644775390625e-06
64,5.9604644775390625e-06
65,5.9604644775390625e-06
66,6.198883056640625e-06
67,6.198883056640625e-06
68,6.198883056640625e-06
69,6.198883056640625e-06
70,6.198883056640625e-06
71,6.4373016357421875e-06
72,6.4373016357421875e-06
73,6.4373016357421875e-06
74,6.4373016357421875e-06
75,6.4373016357421875e-06
76,6.67572021484375e-06
77,6.9141387939453125e-06
78,6.9141387939453125e-06
79,6.9141387939453125e-06
80,6.9141387939453125e-06
81,7.152557373046875e-06
82,7.152557373046875e-06
83,7.152557373046875e-06
84,7.152557373046875e-06
85,7.152557373046875e-06
86,7.3909759521484375e-06
87,7.3909759521484375e-06
88,7.3909759521484375e-06
89,7.3909759521484375e-06
90,7.3909759521484375e-06
91,7.62939453125e-06
92,7.62939453125e-06
93,7.62939453125e-06
94,7.62939453125e-06
95,7.867813110351562e-06
96,7.867813110351562e-06
97,7.867813110351562e-06
98,7.867813110351562e-06
99,7.867813110351562e-06
100,8.344650268554688e-06
101,8.344650268554688e-06
102,8.344650268554688e-06
103,8.344650268554688e-06
104,8.344650268554688e-06
105,8.344650268554688e-06
106,8.58306884765625e-06
107,8.58306884765625e-06
108,8.58306884765625e-06
109,8.58306884765625e-06
110,8.821487426757812e-06
111,8.821487426757812e-06
112,8.821487426757812e-06
113,8.821487426757812e-06
114,8.821487426757812e-06
115,8.821487426757812e-06
116,9.059906005859375e-06
117,9.059906005859375e-06
118,9.059906005859375e-06
119,9.059906005859375e-06
120,9.059906005859375e-06
121,9.298324584960938e-06
122,9.298324584960938e-06
123,9.298324584960938e-06
124,9.298324584960938e-06
125,9.298324584960938e-06
126,9.5367431640625e-06
127,9.5367431640625e-06
128,9.5367431640625e-06
129,9.5367431640625e-06
130,9.5367431640625e-06
131,9.775161743164062e-06
132,9.775161743164062e-06
133,9.775161743164062e-06
134,9.775161743164062e-06
135,9.775161743164062e-06
136,1.0013580322265625e-05
137,1.0013580322265625e-05
138,1.0013580322265625e-05
139,1.0013580322265625e-05
140,1.0013580322265625e-05
141,1.0251998901367188e-05
142,1.0251998901367188e-05
143,1.0967254638671875e-05
144,1.0967254638671875e-05
145,1.0967254638671875e-05
146,1.1205673217773438e-05
147,1.1205673217773438e-05
148,1.1205673217773438e-05
149,1.1682510375976562e-05
150,1.1682510375976562e-05
151,1.1920928955078125e-05
152,1.1920928955078125e-05
153,1.1920928955078125e-05
154,1.1920928955078125e-05
155,1.1920928955078125e-05
156,1.2159347534179688e-05
157,1.2159347534179688e-05
158,1.2159347534179688e-05
159,1.2159347534179688e-05
160,1.2159347534179688e-05
161,1.2159347534179688e-05
162,1.239776611328125e-05
163,1.239776611328125e-05
164,1.239776611328125e-05
165,1.239776611328125e-05
166,1.239776611328125e-05
167,1.2636184692382812e-05
168,1.2636184692382812e-05
169,1.2636184692382812e-05
170,1.2636184692382812e-05
171,1.2636184692382812e-05
172,1.2874603271484375e-05
173,1.2874603271484375e-05
174,1.2874603271484375e-05
175,1.2874603271484375e-05
176,1.2874603271484375e-05
177,1.3113021850585938e-05
178,1.3113021850585938e-05
179,1.3113021850585938e-05
180,1.3113021850585938e-05
181,1.3113021850585938e-05
